http://www2.env.go.jp/pm25monitoring/download.html,,,,
Year,Month,Day,Hour,PM2.5
2016,1,1,1,231
2016,1,1,2,239
2016,1,1,3,205
2016,1,1,4,167
2016,1,1,5,132
2016,1,1,6,169
2016,1,1,7,162
2016,1,1,8,123
2016,1,1,9,100
2016,1,1,10,101
2016,1,1,11,111
2016,1,1,12,115
2016,1,1,13,135
2016,1,1,14,165
2016,1,1,15,176
2016,1,1,16,187
2016,1,1,17,207
2016,1,1,18,235
2016,1,1,19,268
2016,1,1,20,302
2016,1,1,21,330
2016,1,1,22,345
2016,1,1,23,375
2016,1,1,24,400
2016,2,1,1,362
2016,2,1,2,321
2016,2,1,3,230
2016,2,1,4,225
2016,2,1,5,198
2016,2,1,6,191
2016,2,1,7,199
2016,2,1,8,206
2016,2,1,9,230
2016,2,1,10,279
2016,2,1,11,199
2016,2,1,12,220
2016,2,1,13,222
2016,2,1,14,220
2016,2,1,15,198
2016,2,1,16,208
2016,2,1,17,240
2016,2,1,18,293
2016,2,1,19,368
2016,2,1,20,493
2016,2,1,21,517
2016,2,1,22,501
2016,2,1,23,496
2016,2,1,24,559
2016,3,1,1,530
2016,3,1,2,582
2016,3,1,3,406
2016,3,1,4,261
2016,3,1,5,244
2016,3,1,6,229
2016,3,1,7,176
2016,3,1,8,178
2016,3,1,9,166
2016,3,1,10,131
2016,3,1,11,131
2016,3,1,12,107
2016,3,1,13,103
2016,3,1,14,100
2016,3,1,15,107
2016,3,1,16,115
2016,3,1,17,157
2016,3,1,18,208
2016,3,1,19,214
2016,3,1,20,217
2016,3,1,21,217
2016,3,1,22,229
2016,3,1,23,239
2016,3,1,24,243
2016,4,1,1,251
2016,4,1,2,231
2016,4,1,3,70
2016,4,1,4,11
2016,4,1,5,7
2016,4,1,6,8
2016,4,1,7,9
2016,4,1,8,10
2016,4,1,9,6
2016,4,1,10,12
2016,4,1,11,13
2016,4,1,12,12
2016,4,1,13,15
2016,4,1,14,10
2016,4,1,15,16
2016,4,1,16,14
2016,4,1,17,16
2016,4,1,18,11
2016,4,1,19,16
2016,4,1,20,14
2016,4,1,21,11
2016,4,1,22,11
2016,4,1,23,12
2016,4,1,24,9
2016,5,1,1,9
2016,5,1,2,9
2016,5,1,3,7
2016,5,1,4,7
2016,5,1,5,8
2016,5,1,6,9
2016,5,1,7,9
2016,5,1,8,14
2016,5,1,9,11
2016,5,1,10,13
2016,5,1,11,12
2016,5,1,12,12
2016,5,1,13,14
2016,5,1,14,12
2016,5,1,15,15
2016,5,1,16,33
2016,5,1,17,45
2016,5,1,18,54
2016,5,1,19,72
2016,5,1,20,86
2016,5,1,21,91
2016,5,1,22,101
2016,5,1,23,76
2016,5,1,24,55
2016,6,1,1,97
2016,6,1,2,47
2016,6,1,3,30
2016,6,1,4,37
2016,6,1,5,42
2016,6,1,6,28
2016,6,1,7,17
2016,6,1,8,27
2016,6,1,9,30
2016,6,1,10,40
2016,6,1,11,19
2016,6,1,12,16
2016,6,1,13,7
2016,6,1,14,11
2016,6,1,15,10
2016,6,1,16,10
2016,6,1,17,9
2016,6,1,18,7
2016,6,1,19,11
2016,6,1,20,11
2016,6,1,21,11
2016,6,1,22,9
2016,6,1,23,7
2016,6,1,24,12
2016,7,1,1,12
2016,7,1,2,8
2016,7,1,3,8
2016,7,1,4,10
2016,7,1,5,8
2016,7,1,6,7
2016,7,1,7,8
2016,7,1,8,9
2016,7,1,9,9
2016,7,1,10,11
2016,7,1,11,12
2016,7,1,12,7
2016,7,1,13,6
2016,7,1,14,9
2016,7,1,15,7
2016,7,1,16,10
2016,7,1,17,11
2016,7,1,18,14
2016,7,1,19,16
2016,7,1,20,13
2016,7,1,21,18
2016,7,1,22,12
2016,7,1,23,18
2016,7,1,24,16
2016,8,1,1,17
2016,8,1,2,14
2016,8,1,3,14
2016,8,1,4,9
2016,8,1,5,7
2016,8,1,6,6
2016,8,1,7,9
2016,8,1,8,16
2016,8,1,9,16
2016,8,1,10,21
2016,8,1,11,19
2016,8,1,12,15
2016,8,1,13,22
2016,8,1,14,17
