http://graphs.gw.govt.nz/?siteName=Chanel%20College%20AQ&dataSource=PM2.5%20(Hourly%20Average),,,,
Year,Day,Month,Hour, PM2.5
2016,1,1,1,3.746
2016,1,1,2,-3.184
2016,1,1,3,-2.946
2016,1,1,4,2.709
2016,1,1,5,-0.695
2016,1,1,6,2.976
2016,1,1,7,3.882
2016,1,1,8,3.349
2016,1,1,9,0.332
2016,1,1,10,-3.011
2016,1,1,11,-1.194
2016,1,1,12,2.859
2016,1,1,13,6.718
2016,1,1,14,6.452
2016,1,1,15,5.663
2016,1,1,16,3.586
2016,1,1,17,0.568
2016,1,1,18,4.941
2016,1,1,19,8.163
2016,1,1,20,9.18
2016,1,1,21,8.89
2016,1,1,22,7.058
2016,1,1,23,6.01
2016,1,1,24,4.58
2016,2,1,1,3.469
2016,2,1,2,-2.61
2016,2,1,3,-6.079
2016,2,1,4,3.313
2016,2,1,5,3.62
2016,2,1,6,5.972
2016,2,1,7,4.555
2016,2,1,8,4.544
2016,2,1,9,4.109
2016,2,1,10,7.439
2016,2,1,11,13.507
2016,2,1,12,12.751
2016,2,1,13,8.893
2016,2,1,14,2.946
2016,2,1,15,3.229
2016,2,1,16,4.853
2016,2,1,17,5.184
2016,2,1,18,9.702
2016,2,1,19,11.942
2016,2,1,20,11.743
2016,2,1,21,7.46
2016,2,1,22,7.639
2016,2,1,23,1.802
2016,2,1,24,3.696
2016,3,1,1,-3.081
2016,3,1,2,6.302
2016,3,1,3,9.154
2016,3,1,4,2.193
2016,3,1,5,1.972
2016,3,1,6,-0.607
2016,3,1,7,2.042
2016,3,1,8,1.115
2016,3,1,9,0.772
2016,3,1,10,-8.073
2016,3,1,11,-8.351
2016,3,1,12,1.448
2016,3,1,13,3.188
2016,3,1,14,1.565
2016,3,1,15,2.165
2016,3,1,16,-2.822
2016,3,1,17,0
2016,3,1,18,-2.302
2016,3,1,19,-2.729
2016,3,1,20,-0.967
2016,3,1,21,-0.496
2016,3,1,22,0.344
2016,3,1,23,-1.685
2016,3,1,24,1.823
2016,4,1,1,-0.237
2016,4,1,2,16.048
2016,4,1,3,17.886
2016,4,1,4,6.622
2016,4,1,5,2.012
2016,4,1,6,2.71
2016,4,1,7,1.388
2016,4,1,8,2.179
2016,4,1,9,0.599
2016,4,1,10,-6.242
2016,4,1,11,-5.44
2016,4,1,12,-0.41
2016,4,1,13,8.389
2016,4,1,14,8.816
2016,4,1,15,-1.25
2016,4,1,16,5.006
2016,4,1,17,-1.206
2016,4,1,18,-4.647
2016,4,1,19,-8.351
2016,4,1,20,0.84
2016,4,1,21,-0.173
2016,4,1,22,3.973
2016,4,1,23,4.749
2016,4,1,24,4.701
2016,5,1,1,4.243
2016,5,1,2,23.169
2016,5,1,3,20.98
2016,5,1,4,9.287
2016,5,1,5,0.762
2016,5,1,6,7.075
2016,5,1,7,6.144
2016,5,1,8,7.489
2016,5,1,9,5.095
2016,5,1,10,5.347
2016,5,1,11,5.637
2016,5,1,12,-0.059
2016,5,1,13,2.725
2016,5,1,14,2.557
2016,5,1,15,1.402
2016,5,1,16,1.861
2016,5,1,17,0.901
2016,5,1,18,5.846
2016,5,1,19,12.383
2016,5,1,20,7.606
2016,5,1,21,8.065
2016,5,1,22,5.264
2016,5,1,23,6.138
2016,5,1,24,1.292
2016,6,1,1,3.616
2016,6,1,2,2.076
2016,6,1,3,8.312
2016,6,1,4,3.91
2016,6,1,5,1.479
2016,6,1,6,1.013
2016,6,1,7,1.251
2016,6,1,8,2.653
2016,6,1,9,2.352
2016,6,1,10,1.133
2016,6,1,11,-1.239
2016,6,1,12,0.588
2016,6,1,13,0.684
2016,6,1,14,3.136
2016,6,1,15,3.421
2016,6,1,16,2.459
2016,6,1,17,1.541
2016,6,1,18,13.633
2016,6,1,19,13.709
2016,6,1,20,5.511
2016,6,1,21,2.965
2016,6,1,22,4.835
2016,6,1,23,2.69
2016,6,1,24,5.582
2016,7,1,1,4.682
2016,7,1,2,6.848
2016,7,1,3,13.395
2016,7,1,4,10.56
2016,7,1,5,4.109
2016,7,1,6,2.616
2016,7,1,7,2.641
2016,7,1,8,3.508
2016,7,1,9,1.722
2016,7,1,10,16.8
2016,7,1,11,25.302
2016,7,1,12,9.776
2016,7,1,13,5.799
2016,7,1,14,4.475
2016,7,1,15,8.15
2016,7,1,16,0.825
2016,7,1,17,10.263
2016,7,1,18,9.548
2016,7,1,19,4.084
2016,7,1,20,-0.919
2016,7,1,21,4.466
2016,7,1,22,2.821
2016,7,1,23,-0.363
2016,7,1,24,-2.994
2016,8,1,1,0.405
2016,8,1,2,19.546
2016,8,1,3,19.55
2016,8,1,4,8.104
2016,8,1,5,3.823
2016,8,1,6,0.604
2016,8,1,7,0.214
2016,8,1,8,0.047
2016,8,1,9,-5.102
2016,8,1,10,0.816
2016,8,1,11,5.601
2016,8,1,12,7.294
2016,8,1,13,1.674
2016,8,1,14,0.562
2016,8,1,15,1.762
2016,8,1,16,2.658
2016,8,1,17,2.192
2016,8,1,18,0.655
2016,8,1,19,3.05
2016,8,1,20,-1.073
2016,8,1,21,-1.931
